split,n_train,n_val,auc,precision,recall,f1
1,21379,3563,0.7265011713618214,0.546583850931677,0.2796610169491525,0.37000700770847933
2,24942,3563,0.7641692756605263,0.49607182940516276,0.5370595382746051,0.5157526254375729
3,28505,3563,0.7650315948414053,0.4193954659949622,0.49850299401197606,0.45554035567715456
4,32068,3563,0.8091932534347006,0.4636363636363636,0.43683083511777304,0.4498346196251378
5,35631,3563,0.750941166772004,0.6956521739130435,0.13278008298755187,0.2229965156794425
6,39194,3563,0.7545775276415679,0.31331953071083507,0.6931297709923664,0.43155893536121676
