split,n_train,n_val,auc,precision,recall,f1
1,21379,3563,0.7283103914678264,0.5528846153846154,0.24364406779661016,0.3382352941176471
2,24942,3563,0.7409885499906874,0.45382882882882886,0.4896719319562576,0.4710695499707773
3,28505,3563,0.7672716742680441,0.4014423076923077,0.5,0.44533333333333336
4,32068,3563,0.8027945155453746,0.4733178654292343,0.43683083511777304,0.45434298440979953
5,35631,3563,0.7404053449779042,0.5686274509803921,0.12033195020746888,0.19863013698630136
6,39194,3563,0.743179121559898,0.3069053708439898,0.732824427480916,0.43262730959891843
