split,n_train,n_val,auc,precision,recall,f1
1,17324,2887,0.7316961914295745,0.5557692307692308,0.4122681883024251,0.47338247338247336
2,20211,2887,0.7091950534860785,0.44256756756756754,0.5346938775510204,0.48428835489833644
3,23098,2887,0.7245372731481118,0.5408163265306123,0.3032904148783977,0.38863428047662696
4,25985,2887,0.7945698512246225,0.6308623298033282,0.5036231884057971,0.5601074546675622
5,28872,2887,0.7454529018070661,0.7635467980295566,0.15225933202357564,0.2538902538902539
6,31759,2887,0.7669771585447891,0.6217765042979942,0.2764331210191083,0.38271604938271603
