split,n_train,n_val,auc,precision,recall,f1
1,21379,3563,0.7470637419123135,0.5114942528735632,0.3494764397905759,0.4152410575427683
2,24942,3563,0.7364010249542214,0.45681381957773515,0.3454281567489115,0.3933884297520661
3,28505,3563,0.7861943967112487,0.38282208588957056,0.5897920604914934,0.4642857142857143
4,32068,3563,0.719912429567621,0.2680301399354144,0.5010060362173038,0.3492286115007013
5,35631,3563,0.8160124023481653,0.44621513944223107,0.4409448818897638,0.44356435643564357
6,39194,3563,0.6929358114598559,0.31602373887240354,0.3544093178036606,0.3341176470588235
