split,n_train,n_val,auc,precision,recall,f1
1,17324,2887,0.7297874034349048,0.5435606060606061,0.4094151212553495,0.467046379170057
2,20211,2887,0.7111056318438156,0.4451371571072319,0.4857142857142857,0.4645413142485361
3,23098,2887,0.7317746951115853,0.5458715596330275,0.34048640915593703,0.4193832599118943
4,25985,2887,0.7958030961045299,0.6164199192462988,0.5531400966183575,0.5830681094844048
5,28872,2887,0.7595427831404962,0.7688679245283019,0.16011787819253437,0.26504065040650404
6,31759,2887,0.7845321713624271,0.6466666666666666,0.24713375796178344,0.3576036866359447
