split,n_train,n_val,auc,precision,recall,f1
1,21379,3563,0.7157590272748926,0.5064935064935064,0.12225705329153605,0.19696969696969696
2,24942,3563,0.7827430129379699,0.5232163080407701,0.5121951219512195,0.5176470588235295
3,28505,3563,0.7346309612251369,0.3383054892601432,0.7186311787072244,0.4600405679513185
4,32068,3563,0.7771461464536746,0.3666978484565014,0.6302250803858521,0.4636309875813128
5,35631,3563,0.850964980913768,0.6206896551724138,0.21176470588235294,0.3157894736842105
6,39194,3563,0.7257829181153614,0.3548387096774194,0.5805142083897158,0.4404517453798768
