timestamp,open,high,low,close,volume,quote_volume,n_trades,taker_buy_base,taker_buy_quote
2020-04-28 00:00:00+00:00,7773.51,7780.0,7659.12,7738.98,46302.752638,357391780.93076265,499414,21305.50136,164468534.08844885
2020-04-29 00:00:00+00:00,7738.58,8952.89,7710.05,8778.57,183546.887514,1536390177.044949,1433128,91462.005617,765292175.0671884
2020-04-30 00:00:00+00:00,8778.58,9460.0,8401.0,8620.0,206277.214124,1839283907.4625194,1661554,99484.476377,887675398.177694
2020-05-01 00:00:00+00:00,8620.0,9059.18,8613.56,8826.96,91468.815059,805640126.6308705,865960,44763.354481,394216389.90386546
2020-05-02 00:00:00+00:00,8825.67,9010.0,8753.0,8972.05,59002.08755,523838859.5442492,637884,30400.353449,269917468.3416013
2020-05-03 00:00:00+00:00,8972.58,9200.0,8712.0,8894.16,90126.065643,808427095.9321591,877460,44321.3704,397824441.8012372
2020-05-04 00:00:00+00:00,8894.15,8950.0,8522.0,8871.96,84418.512331,738343818.6939254,848802,39118.380222,342180074.58001775
2020-05-05 00:00:00+00:00,8871.92,9118.58,8760.0,9021.83,76480.765342,683083018.8779808,812543,37454.518379,334700993.4328503
2020-05-06 00:00:00+00:00,9021.36,9395.0,8906.21,9142.92,105925.30242,972793508.4649074,1007661,51189.790893,470167656.5656032
2020-05-07 00:00:00+00:00,9143.4,10067.0,9021.0,9986.4,147154.611378,1409783462.0063643,1254835,74602.193112,715407978.1961043
2020-05-08 00:00:00+00:00,9986.3,10035.96,9705.0,9800.01,100683.7964,997005843.7404792,967816,46207.637594,457701324.85886586
2020-05-09 00:00:00+00:00,9800.02,9914.25,9520.0,9539.4,81950.679567,795001351.6797023,839384,36738.679244,356475632.6589254
2020-05-10 00:00:00+00:00,9539.1,9574.83,8117.0,8722.77,183865.182028,1594996476.975637,1565771,84376.580774,731417660.3519951
2020-05-11 00:00:00+00:00,8722.77,9168.0,8200.0,8561.52,168807.251832,1468392820.7608037,1367382,81474.595067,708958944.1586587
2020-05-12 00:00:00+00:00,8562.04,8978.26,8528.78,8810.79,86522.780066,760195457.0509586,784859,40570.317401,356508014.1884676
2020-05-13 00:00:00+00:00,8810.99,9398.0,8792.99,9309.37,92466.274018,839725719.9602077,869216,43648.354655,396713970.0443314
2020-05-14 00:00:00+00:00,9309.35,9939.0,9256.76,9791.98,129565.37747,1247456797.8136663,1199530,63438.510993,611313934.3913236
2020-05-15 00:00:00+00:00,9791.97,9845.62,9150.0,9316.42,115890.761516,1099721375.8919058,1055630,55397.123434,525813199.3366492
2020-05-16 00:00:00+00:00,9315.96,9588.0,9220.0,9381.27,59587.627862,560547005.0259086,692028,28861.3682,271542836.2138013
2020-05-17 00:00:00+00:00,9380.81,9888.0,9322.1,9680.04,68647.764323,663088800.815278,722718,34734.034993,335478915.9764369
2020-05-18 00:00:00+00:00,9681.11,9950.0,9464.23,9733.93,82006.603583,797622297.3261683,794292,40242.842986,391957586.20057756
2020-05-19 00:00:00+00:00,9733.93,9897.21,9474.0,9775.53,78539.760454,760713946.0085461,773581,37821.719308,366745428.20816094
2020-05-20 00:00:00+00:00,9775.13,9842.0,9326.0,9511.43,74923.73809,721190802.7634026,731189,33481.796678,322416331.9624527
2020-05-21 00:00:00+00:00,9511.43,9578.47,8815.0,9068.65,108928.780969,1002046265.9412597,951971,49914.081138,459089374.16887957
2020-05-22 00:00:00+00:00,9067.51,9271.0,8933.52,9170.0,58943.131024,537847834.4967086,693694,28987.315896,264538897.25902513
2020-05-23 00:00:00+00:00,9170.0,9307.85,9070.0,9179.15,43526.296966,400407195.62892234,512460,21377.616332,196682791.17593566
2020-05-24 00:00:00+00:00,9179.01,9298.0,8700.0,8720.34,70379.86645,636787240.3733248,774088,32046.411444,290362268.47214717
2020-05-25 00:00:00+00:00,8718.14,8979.66,8642.72,8900.35,62833.910949,553545285.9140139,733557,30771.888744,271166770.94493836
2020-05-26 00:00:00+00:00,8900.35,9017.67,8700.0,8841.18,58299.770138,516455128.89068806,678304,28242.170083,250278944.16497475
2020-05-27 00:00:00+00:00,8841.0,9225.0,8811.73,9204.07,68910.355514,624660855.780037,662850,33532.620265,304057334.99150485
2020-05-28 00:00:00+00:00,9204.07,9625.47,9110.0,9575.89,74110.787662,693930106.1813825,738725,37974.899609,355720464.8630843
2020-05-29 00:00:00+00:00,9575.87,9605.26,9330.0,9427.07,57374.362961,542758086.6064702,593705,26819.212894,253696538.73175293
2020-05-30 00:00:00+00:00,9426.6,9740.0,9331.23,9697.72,55665.27254,530598690.0714505,651290,29252.679904,279016030.1311799
2020-05-31 00:00:00+00:00,9697.72,9700.0,9381.41,9448.27,48333.786403,461272298.8525205,651473,22778.001169,217450165.0180633
2020-06-01 00:00:00+00:00,9448.27,10380.0,9421.67,10200.77,76649.12696,749707596.6593573,826964,41530.412317,406777189.28314984
2020-06-02 00:00:00+00:00,10202.71,10228.99,9266.0,9518.04,108970.773151,1070060237.1302093,1004312,49354.907969,485973112.19351894
2020-06-03 00:00:00+00:00,9518.02,9690.0,9365.21,9666.24,46252.644939,441928818.0430156,562784,22656.30815,216537558.0168512
2020-06-04 00:00:00+00:00,9666.32,9881.63,9450.0,9789.06,57456.100969,557234945.6467389,665881,28778.237371,279263924.70782906
2020-06-05 00:00:00+00:00,9788.14,9854.75,9581.0,9621.16,47788.05005,465200788.20363384,566062,22329.107119,217444468.9505285
2020-06-06 00:00:00+00:00,9621.17,9735.0,9531.05,9666.3,32752.950893,315604867.2361491,435796,15832.693765,152610794.9455491
2020-06-07 00:00:00+00:00,9666.85,9802.0,9372.46,9746.99,57952.848385,556919603.7915448,637766,28426.595129,273242856.19134754
2020-06-08 00:00:00+00:00,9746.99,9800.0,9633.0,9782.01,40664.664125,395459395.8213372,485139,19744.039124,192037951.04548973
2020-06-09 00:00:00+00:00,9782.0,9877.0,9570.0,9772.43,46024.001289,447208895.8386983,551863,21901.19095,212965408.6778281
2020-06-10 00:00:00+00:00,9772.44,9992.72,9704.18,9885.0,47130.762982,462384305.3511993,560909,23128.161032,226982635.61915445
2020-06-11 00:00:00+00:00,9885.22,9964.0,9113.0,9280.4,94418.98473,902075648.5453849,966502,40972.064749,391689549.6579659
2020-06-12 00:00:00+00:00,9278.88,9557.12,9232.51,9465.13,50119.066932,472007894.3756753,553203,24344.81637,229325970.87113217
2020-06-13 00:00:00+00:00,9464.96,9494.73,9351.0,9473.34,27759.784851,261673162.2584724,392763,13531.007214,127577168.31734002
2020-06-14 00:00:00+00:00,9473.34,9480.99,9245.0,9342.1,30055.506608,282131272.3800662,415568,14465.416151,135811554.06421557
2020-06-15 00:00:00+00:00,9342.1,9495.0,8910.45,9426.02,86107.924707,793518842.5509845,839521,41630.747529,384031123.18172884
2020-06-16 00:00:00+00:00,9426.05,9589.0,9373.09,9525.59,52052.446927,494458269.1397911,543481,25692.839625,244097412.8828076
2020-06-17 00:00:00+00:00,9526.97,9565.0,9236.61,9465.14,48046.411152,453209812.2257806,536158,22842.831276,215532725.63392767
2020-06-18 00:00:00+00:00,9465.13,9489.0,9280.0,9386.32,37381.953765,351649555.0725387,475074,17940.405253,168801558.37933227
2020-06-19 00:00:00+00:00,9386.32,9438.3,9215.79,9310.23,45330.983673,423086965.1927383,503484,22055.969046,205898368.34014913
2020-06-20 00:00:00+00:00,9310.23,9395.0,9170.95,9358.95,30329.065384,282120360.5567526,382778,15125.081769,140741525.62068328
2020-06-21 00:00:00+00:00,9358.95,9422.0,9281.54,9294.69,24316.926234,227467940.6102112,321015,11779.797182,110215504.55537862
2020-06-22 00:00:00+00:00,9294.69,9780.0,9277.09,9685.69,57895.468343,550995799.0694704,588704,30738.200375,292712778.1434761
2020-06-23 00:00:00+00:00,9685.69,9720.0,9577.03,9624.89,41031.02938,395487616.460878,474319,19112.606216,184247416.84941235
2020-06-24 00:00:00+00:00,9624.33,9670.0,9208.0,9296.49,61571.561464,579426702.7966821,572362,26903.544061,253131387.59992126
2020-06-25 00:00:00+00:00,9298.33,9340.0,9009.69,9249.49,55831.619156,514396747.4047828,536205,26546.395563,244659133.8850236
2020-06-26 00:00:00+00:00,9249.49,9298.0,9045.45,9162.21,50292.298277,461347064.82950306,510947,23307.903475,213866832.83863124
2020-06-27 00:00:00+00:00,9162.21,9196.24,8833.0,9012.0,46290.930113,419606802.2372014,499415,21056.87686,191013780.26087573
2020-06-28 00:00:00+00:00,9012.0,9191.0,8948.06,9116.35,30688.176421,278721674.9221112,374404,14982.804528,136093615.8190654
2020-06-29 00:00:00+00:00,9116.16,9238.0,9024.67,9192.56,42120.293261,384206326.4706804,434299,20449.097796,186542867.41056207
2020-06-30 00:00:00+00:00,9192.93,9205.0,9064.89,9138.55,31463.162801,287781334.5170158,328083,15267.747467,139674651.10276634
2020-07-01 00:00:00+00:00,9138.08,9292.0,9080.1,9232.0,38488.528699,354087627.16966116,374832,19068.831705,175429466.2892198
2020-07-02 00:00:00+00:00,9231.99,9261.96,8940.0,9086.54,45725.168076,417724468.88735676,470292,21637.630489,197709875.24815682
2020-07-03 00:00:00+00:00,9086.54,9125.0,9037.47,9058.26,28943.420177,263123750.46717235,343189,13719.524517,124722413.06761461
2020-07-04 00:00:00+00:00,9057.79,9190.0,9040.04,9135.46,26441.968484,240576054.91572312,335225,13588.8196,123666216.06517515
2020-07-05 00:00:00+00:00,9135.0,9145.24,8893.03,9069.41,34073.653627,308410443.6592152,384500,16276.23427,147339875.53843993
2020-07-06 00:00:00+00:00,9069.41,9375.0,9055.92,9344.2,54463.132277,502548376.20946366,533540,28132.942222,259636973.335946
2020-07-07 00:00:00+00:00,9342.47,9379.42,9203.0,9257.39,34587.336678,320576525.3553498,433481,16284.849002,150931441.59977534
