split,n_train,n_val,auc,precision,recall,f1
1,17324,2887,0.6551262163305598,0.39943342776203966,0.6550522648083623,0.49626044874615044
2,20211,2887,0.6875325712786613,0.4844632768361582,0.4193154034229829,0.44954128440366975
3,23098,2887,0.7133036668731889,0.38366571699905033,0.5722379603399433,0.4593519044911882
4,25985,2887,0.7830471705828423,0.5527426160337553,0.4274061990212072,0.48206071757129715
5,28872,2887,0.730713107621676,0.4097051597051597,0.7978468899521531,0.5413961038961039
6,31759,2887,0.7656228800585931,0.47974797479747977,0.6687578419071518,0.5587002096436059
