split,n_train,n_val,auc,precision,recall,f1
1,21379,3563,0.7431922208567383,0.49110320284697506,0.3612565445026178,0.416289592760181
2,24942,3563,0.7272347143147159,0.4657210401891253,0.28592162554426703,0.35431654676258995
3,28505,3563,0.7783606835199808,0.37726723095526,0.5897920604914934,0.46017699115044247
4,32068,3563,0.7248533602134661,0.2680851063829787,0.5070422535211268,0.35073068893528186
5,35631,3563,0.8194294729477944,0.47619047619047616,0.4330708661417323,0.4536082474226804
6,39194,3563,0.6927015631161659,0.36454849498327757,0.18136439267886856,0.24222222222222223
