split,n_train,n_val,auc,precision,recall,f1
1,21379,3563,0.724210972864312,0.3372013651877133,0.6739427012278308,0.4494995450409463
2,24942,3563,0.7313159190442872,0.43859649122807015,0.5847953216374269,0.5012531328320802
3,28505,3563,0.7749343780607247,0.33560709413369716,0.492,0.39902676399026765
4,32068,3563,0.7541457912760618,0.2440944881889764,0.5636363636363636,0.34065934065934067
5,35631,3563,0.8106749670872669,0.2727272727272727,0.5228215767634855,0.3584637268847795
6,39194,3563,0.7780631320870366,0.3108108108108108,0.38333333333333336,0.34328358208955223
