split,n_train,n_val,auc,precision,recall,f1
1,21379,3563,0.6943091097406824,0.3207786711807025,0.8403547671840355,0.4643185298621746
2,24942,3563,0.7105961591573018,0.39312567132116005,0.7283582089552239,0.5106382978723404
3,28505,3563,0.6834123087882149,0.36182902584493043,0.4642857142857143,0.40670391061452515
4,32068,3563,0.7332463135334789,0.30728241563055064,0.3835920177383592,0.34122287968441817
5,35631,3563,0.7609210296234189,0.22344322344322345,0.45018450184501846,0.29865361077111385
6,39194,3563,0.7696345738736395,0.4880952380952381,0.09879518072289156,0.16432865731462926
