split,n_train,n_val,auc,precision,recall,f1
1,21379,3563,0.6809023915461624,0.3786468032278088,0.6573275862068966,0.48050413548641197
2,24942,3563,0.7863862753553164,0.5117021276595745,0.5645539906103286,0.5368303571428571
3,28505,3563,0.7405381798237091,0.39763779527559057,0.47943037974683544,0.4347202295552367
4,32068,3563,0.716467345659297,0.2405609492988134,0.5162037037037037,0.32818248712288445
5,35631,3563,0.7994401938257591,0.22484599589322382,0.6498516320474778,0.3340961098398169
6,39194,3563,0.8025942647032199,0.44061302681992337,0.3010471204188482,0.35769828926905134
