split,n_train,n_val,auc,precision,recall,f1
1,21379,3563,0.7082634640260279,0.4626865671641791,0.09717868338557993,0.16062176165803108
2,24942,3563,0.7569878952863527,0.49567099567099565,0.5077605321507761,0.5016429353778752
3,28505,3563,0.737499577371994,0.3376932223543401,0.7198986058301647,0.4597329016592473
4,32068,3563,0.7837289851539002,0.36464088397790057,0.6366559485530546,0.4637002341920375
5,35631,3563,0.8430578277260117,0.550561797752809,0.19215686274509805,0.28488372093023256
6,39194,3563,0.7379105061199769,0.37608318890814557,0.5872801082543978,0.45853143159006865
