simbolo,fecha_entrenamiento,n_features,n_train,n_val,n_test,wfv_auc_media,wfv_auc_std,test_auc_xgb,test_auc_ensemble,test_precision,test_f1,peso_xgb,peso_lstm
BTC_USDT,2026-04-18T20:17:25.818855,123,42759,9163,9163,0.747628669161477,0.04488008305459134,0.7713303155692558,0.767317106985097,0.8307692307692308,0.08809135399673736,0.580336451609936,0.4196635483900641
ETH_USDT,2026-04-18T20:30:08.329177,124,42759,9163,9163,0.7612413759473773,0.04718554457722839,0.742911390646115,0.7576414841988613,0.4535031847133758,0.489010989010989,0.5973507128897746,0.4026492871102254
BNB_USDT,2026-04-18T20:43:49.151545,124,42759,9163,9163,0.7538249329682891,0.02715885884074566,0.7969184583380133,0.7934162169889524,1.0,0.028469750889679714,0.5853569426235297,0.41464305737647034
SOL_USDT,2026-04-18T20:53:29.928176,124,34648,7425,7425,0.7454047382733737,0.031038996753502024,0.751121316586275,0.76216497885462,0.5743639921722113,0.4079221681723419,0.5530807757465893,0.4469192242534107
