timestamp,open,high,low,close,volume,quote_volume,n_trades,taker_buy_base,taker_buy_quote,ema_9,ema_21,ema_50,ema_100,ema_200,sma_20,sma_50,sma_200,macd,macd_signal,macd_hist,macd_cruce,macd_hist_pendiente,rsi_14,rsi_7,rsi_sobrecompra,rsi_sobreventa,rsi_zona_neutral,divergencia_bajista_rsi,divergencia_alcista_rsi,rsi_pendiente,atr_14,atr_pct,adx,dmi_pos,dmi_neg,precio_sobre_ema50,precio_sobre_ema200,ema50_sobre_ema200,stoch_k,stoch_d,stoch_sobrecompra,stoch_sobreventa,cci_20,roc_10,williams_r,bb_upper,bb_lower,bb_width,bb_posicion,bb_squeeze,volatilidad_20,rango_vela_pct,obv,obv_ema,obv_tendencia,volumen_ratio,volumen_anomalo,confirmacion_alcista,confirmacion_bajista,vol_ratio_5,fib_236,fib_382,fib_500,fib_618,cerca_fib_236,cerca_fib_382,cerca_fib_500,cerca_fib_618,ema200_pendiente,regimen_mercado,posicion_en_vela,ret_1,ret_5,ret_8,dist_ema21_atr,dist_ema50_atr,dist_ema200_atr,body_ratio,upper_wick,lower_wick,spread_hl_pct,dist_max_24h,dist_min_24h,posicion_48h,regimen_volatilidad,btc_ret_1h,btc_ret_4h,corr_btc_24h,taker_ratio,taker_ratio_ma5,taker_ratio_ma20,taker_ratio_delta,taker_ratio_pendiente,taker_dominance,taker_cvd_20,taker_cvd_tendencia,vol_quality,label_oportunidad,label_exito_long,label_exito_short
2020-04-28 00:00:00+00:00,196.33,198.5,192.36,196.24,636829.89397,124476041.8893834,183819,324710.24289,63499045.6503374,196.24,196.24,196.24,196.24,196.24,,,,0.0,0.0,0.0,0,,,,0,0,0,0,0,,,,,,,0,0,0,,,0,0,,,,,,,0.5,0,,3.1288218507949375,0.0,0.0,0,,0,0,0,,,,,,0,0,0,0,,-1,0.6319218241042351,,,,,,,0.014657980456026646,0.3534201954397382,0.6319218241042351,3.1919317945518744,,,,0,,,,0.5098853649374955,,,,,1.0403389910453695,,0,,,,
2020-04-29 00:00:00+00:00,196.24,218.77,196.22,215.36,1620422.72431,338324593.6372917,445147,817195.35504,170664754.3089585,200.06400000000002,197.97818181818184,196.98980392156864,196.61861386138614,196.43024875621893,,,,1.5252421652421617,0.3050484330484324,1.2201937321937293,1,,,,0,0,0,0,0,,,,,,,1,1,1,,,0,0,,,,,,,0.5,0,,10.470839524517093,1620422.72431,154325.9737438095,1,,0,0,0,,,,,,0,0,0,0,,1,0.8487804878048782,9.743171626579695,,,,,,0.8478935698447891,0.15121951219512172,0.0008869179600891451,11.492202629701362,,,,0,13.433165610971987,,,0.5043099820683976,,,,,1.017389827967011,,0,,,,
2020-04-30 00:00:00+00:00,215.4,227.3,202.0,206.08,1749691.00151,374893029.7743084,557268,840566.78901,180276410.9970631,201.26720000000003,198.71471074380167,197.3462821991542,196.80596804234878,196.5262661815302,,,,1.9625658882638959,0.6365519240915252,1.3260139641723707,0,1.3260139641723707,,,0,0,0,0,0,,,,,,,1,1,1,,,0,0,,,,,,,0.5,0,,12.276785714285719,-129268.27720000013,127316.99746344669,0,,0,0,0,,,,,,0,0,0,0,,1,0.16126482213438778,-4.30906389301634,,,,,,0.36837944664031574,0.47035573122529645,0.16126482213438778,12.52475247524753,,,,0,-1.8063306438292348,,,0.48040870547118475,,,,,0.9245895967268607,,0,,,,
2020-05-01 00:00:00+00:00,206.07,217.14,205.91,212.02,794913.95828,168339123.3579139,291365,389989.76909,82585993.1604421,203.41776000000004,199.92428249436517,197.92172211291285,197.10723600190624,196.68043268718662,,,,2.7566791654089684,1.0605773723550138,1.6961017930539546,0,0.4759080608602253,,,0,0,0,0,0,,,,,,,1,1,1,,,0,0,,,,,,,0.5,0,,5.2966701254598565,665645.6810799999,178586.39590311842,1,,0,0,0,,,,,,0,0,0,0,,1,0.5440783615316135,2.8823757763975166,,,,,,0.5298308103294767,0.4559216384683865,0.014247551202136843,5.453839055898204,,,,0,2.4009280742459227,,,0.49060626628552706,,,,-0.019279098651968418,0.9631179848013663,,0,,,,
2020-05-02 00:00:00+00:00,212.01,215.37,210.36,213.9,443494.67248,94389501.5178164,185802,225155.58197,47928012.2313554,205.51420800000005,201.1948022676047,198.5483212457398,197.4397659820665,196.8517716654236,,,,3.497404050176101,1.5479427079192312,1.9494613422568698,0,0.6234473780844991,,,0,0,0,0,0,,,,,,,1,1,1,,,0,0,,,,,,,0.5,0,,2.3422159887797993,1109140.35356,267210.5823466309,1,,0,0,0,0.42275013316169324,,,,,0,0,0,0,,1,0.7065868263473051,0.8867088010565016,,,,,,0.37724550898203957,0.2934131736526949,0.3293413173652655,2.3816314888762076,,,,0,1.6437142572301333,15.93323667976916,,0.5076849755848052,0.49857905886948206,,,0.003374993516407576,1.0312197483468395,,0,,,,
2020-05-03 00:00:00+00:00,213.89,219.3,203.92,209.86,748383.91311,158874887.0783411,268841,354161.96792,75207830.8953474,206.38336640000006,201.98254751600427,198.9919164910049,197.68571121014438,196.98120677323033,,,,3.7156084009175743,1.9814758465189,1.7341325543986743,0,0.03803076134471972,,,0,0,0,1,0,,,,,,,1,1,1,,,0,0,,,,,,,0.5,0,,7.328695320689994,360756.44045,276119.71168980893,1,,0,0,0,0.698522501079068,,,,,0,0,0,0,,1,0.38621586475942893,-1.8887330528284174,6.9404810436200615,,,,,0.2620286085825726,0.3517555266579985,0.38621586475942893,7.542173401333868,,,,0,-0.8681405030065537,1.316729262283034,,0.47323567719171983,0.49124912132032683,,,-0.007173028279464921,0.8983821733955157,,0,,,,
2020-05-04 00:00:00+00:00,209.86,210.65,194.88,206.48,1114249.32658,225451167.6553683,349701,553422.13712,111948053.085331,206.40269312000004,202.39140683273115,199.285566824691,197.85985554261677,197.0757221287206,,,,3.574593480262962,2.300099373267712,1.2744941069952498,0,-0.6749672352616201,,,0,0,0,0,0,,,,,,,1,1,1,,,0,0,,,,,,,0.5,0,,7.637543587756689,-753492.8861300001,178061.3690403033,0,,0,0,0,1.1485370932514096,,,,,0,0,0,0,,1,0.7355738744451482,-1.6105975412179618,-4.123328380386337,,,,,0.21433100824350168,0.05009511731135013,0.7355738744451482,8.092159277504111,,,,0,-0.24960198602229644,2.9229698375869972,,0.49667711159282063,0.4897225472252115,,,0.006070845307293571,0.9867961959063892,,0,,,,
2020-05-05 00:00:00+00:00,206.47,211.68,201.0,205.29,640644.66268,131906204.907813,246124,310794.78031,64025329.1862899,206.18015449600003,202.65491530248286,199.52103479235018,198.00698711603027,197.15745623689253,,,,3.3284468218553513,2.50576886298524,0.8226779588701114,0,-0.9114545955285629,,60.093687262993505,0,0,0,0,0,,,,,,,1,1,1,,,0,0,,,,,,,0.5,0,,5.202396609674123,-1394137.54881,28328.13876884585,0,,0,0,0,0.8560907721792598,,,,,0,0,0,0,,1,0.40168539325842595,-0.576327005036803,-0.38334627329194015,,,,,0.11048689138576835,0.48782771535580566,0.40168539325842595,5.313432835820899,,,,0,1.6892546855486357,2.2076683252218343,,0.4851281816816463,0.49066644246730384,,,-0.0225567939031589,0.9422309872506627,,0,,,,
2020-05-06 00:00:00+00:00,205.3,210.77,197.71,198.97,862700.67849,178157452.6008412,271299,411115.12204,84998478.6079314,204.73812359680005,202.31992300225716,199.49942558480706,198.02605667808908,197.17549149821699,,,,2.5935063137370378,2.5233163531355993,0.07018996060143845,0,-1.2043041463938113,,24.414611301904444,0,0,0,0,0,,,,,,,0,1,1,,,0,0,,,,,,,0.5,0,,6.563803588480677,-2256838.2273,-189306.7532377109,0,,0,0,0,1.1323096673977395,,,,,0,0,0,0,,1,0.09647779479326116,-3.078571776511274,-6.155079709461376,1.3911536893599585,,,,0.48468606431853073,0.4188361408882081,0.09647779479326116,6.605634515199029,,,,0,1.3421888907239499,1.904469992922464,,0.47654433604895496,0.4878540564199894,,,0.003308658857235136,0.9103814685125322,,0,,,,
2020-05-07 00:00:00+00:00,198.92,215.1,196.43,212.0,1305778.73764,271197927.6650278,380313,660789.67892,137272634.808332,206.19049887744006,203.19993000205196,199.98964418932442,198.3027684270378,197.32299904549842,,,,3.0275727952542013,2.62416764155932,0.4034051536948815,0,-0.4192728051752299,,58.27277808831748,0,0,0,0,0,,,,,,,1,1,1,,,0,0,,,,,,,0.5,0,,8.8066037735849,-951059.48966,-261854.6328969765,0,,0,0,0,1.3975241527092606,,,,,0,0,0,0,,1,0.833958221746117,6.54872593858371,-0.8882655446470378,-1.5601783060921304,,,,0.7005891805034826,0.16604177825388305,0.1333690412426343,9.504658147940734,,,,0,9.225499074693854,12.280417712296599,,0.5060502670722596,0.4875271147174803,,,0.00937315547943901,1.0244975011380144,,0,,,,
